price,area_sqft,city,thana,bedrooms,bathrooms,floor_level,total_floors,building_age,lift,gas_line,airco,generator,security,parking,garagepl,road_width_ft,distance_main_road_m,near_school,near_hospital,near_market,driveway,fullbase,prefarea
13790000,2137,Dhaka,Mirpur-1,5,2,2,3,3,1,0,0,0,0,1,2,60,358,0,1,0,0,1,0
12290000,1226,Sylhet,Uposhohor,5,2,12,14,19,1,0,0,0,1,1,1,80,601,0,1,1,0,0,0
4930000,717,Rajshahi,Rajpara,5,3,3,4,11,0,0,0,0,1,1,1,80,314,1,0,1,1,0,0
3480000,670,Rajshahi,Shah Makhdum,2,2,4,5,9,1,0,0,0,1,1,1,60,645,0,1,1,1,1,0
19510000,2794,Dhaka,Tejgaon,3,1,4,7,8,1,0,0,0,1,1,2,60,653,0,1,1,1,1,0
13660000,2610,Chattogram,Pahartali,2,1,10,11,15,1,1,0,1,1,0,0,30,398,1,0,0,1,0,0
15700000,1616,Sylhet,Sylhet Sadar,2,2,10,14,7,1,0,0,0,1,1,1,80,585,0,0,0,0,1,0
9490000,932,Chattogram,Nasirabad,3,1,3,3,5,0,1,0,1,0,1,1,10,468,1,1,1,0,0,0
6810000,1070,Chattogram,Muradpur,3,3,3,3,2,0,0,0,0,1,1,1,10,219,1,1,1,1,0,0
6300000,1625,Rajshahi,Rajpara,2,1,4,8,18,1,0,1,0,0,1,1,10,738,1,0,1,0,0,0
10420000,2272,Rajshahi,Rajpara,4,3,11,11,10,1,0,0,0,0,1,1,30,760,1,1,0,1,0,0
23910000,2492,Dhaka,Shyamoli,5,1,4,6,19,1,1,0,1,1,1,2,80,560,0,0,1,0,0,0
6230000,656,Chattogram,Nasirabad,5,1,4,4,14,0,0,0,0,0,0,0,10,713,1,0,1,0,0,0
19720000,1731,Chattogram,Agrabad,5,3,9,9,9,1,0,0,0,0,1,2,60,355,1,0,1,0,0,0
11930000,2168,Chattogram,Halishahar,3,2,1,3,15,0,0,1,0,1,1,1,60,440,0,1,1,0,1,0
5640000,1190,Rajshahi,Boalia,5,2,2,4,10,0,0,0,0,1,1,1,40,759,0,0,0,1,1,0
9290000,970,Sylhet,Amberkhana,5,1,11,11,14,1,1,0,1,0,1,1,15,760,1,0,1,0,1,0
11720000,2166,Dhaka,Rayer Bazar,3,2,10,10,14,1,1,0,0,0,1,1,60,310,1,0,1,0,0,0
12400000,2471,Rajshahi,Rajpara,4,2,7,10,3,1,1,0,1,0,1,2,15,440,1,1,0,0,0,0
8520000,1542,Rajshahi,Rajpara,4,2,11,12,21,1,1,1,0,1,1,2,80,788,0,1,1,1,0,0
11260000,1319,Sylhet,Uposhohor,3,1,9,11,16,1,0,0,1,0,1,1,20,218,0,0,1,0,1,0
8280000,2098,Rajshahi,Poba,2,2,1,3,3,1,1,0,0,0,1,2,30,427,1,0,0,1,0,0
22510000,2501,Dhaka,Shyamoli,4,4,2,2,30,1,1,1,1,1,1,1,10,361,1,1,0,0,0,1
7670000,1005,Chattogram,Muradpur,5,4,5,5,6,1,1,0,0,0,0,0,30,505,1,1,1,1,0,0
7130000,1468,Rajshahi,Boalia,2,1,6,6,25,1,0,0,0,1,0,0,40,260,0,0,1,1,0,0
10470000,1626,Chattogram,Halishahar,3,1,11,11,4,1,1,0,1,0,0,0,10,416,1,1,1,1,0,0
6800000,1507,Rajshahi,Poba,2,2,8,8,1,1,0,0,1,1,1,1,30,461,0,1,1,0,0,0
25280000,2773,Sylhet,Uposhohor,4,4,9,12,3,1,0,0,0,1,0,0,80,768,1,1,1,1,0,0
17090000,2348,Dhaka,Mirpur-10,4,3,6,7,2,1,1,0,1,1,0,0,10,137,0,0,0,1,0,0
9420000,1778,Rajshahi,Boalia,4,3,2,6,6,1,1,0,0,0,1,1,15,722,0,0,0,0,0,0
10350000,1695,Dhaka,Rayer Bazar,2,1,5,7,29,1,1,1,1,1,0,0,20,409,0,1,0,0,1,1
16990000,2319,Chattogram,Muradpur,5,3,3,4,23,1,1,1,1,1,1,2,20,631,0,0,1,0,0,1
7730000,1718,Rajshahi,Shah Makhdum,3,3,2,3,3,0,1,1,0,1,1,2,20,744,1,0,0,0,1,0
45500000,2637,Dhaka,Gulshan-1,5,2,3,4,16,1,1,1,1,1,1,1,40,734,1,0,0,0,0,1
4740000,1071,Rajshahi,Rajpara,5,1,6,7,26,1,1,0,0,1,0,0,60,420,0,0,1,0,1,0
36580000,2688,Dhaka,Bashundhara,3,2,6,11,26,1,1,1,1,1,0,0,15,291,0,0,0,1,0,1
11060000,2438,Rajshahi,Shah Makhdum,4,3,3,3,15,0,1,1,0,1,1,1,30,696,1,1,0,0,1,0
5410000,768,Rajshahi,Shah Makhdum,5,2,6,9,16,1,0,1,1,1,1,1,15,113,1,0,1,1,1,1
12340000,2746,Rajshahi,Shah Makhdum,3,2,6,7,13,1,0,0,1,1,1,2,80,396,0,1,0,0,0,0
10000000,933,Chattogram,Nasirabad,3,2,5,10,21,1,1,0,0,1,1,2,30,182,1,0,0,0,0,0
20700000,2334,Dhaka,Shyamoli,4,1,6,6,30,1,1,1,1,1,1,1,15,399,1,0,1,1,0,1
19140000,1979,Dhaka,Shyamoli,3,3,7,7,5,1,1,0,0,0,1,2,80,759,1,0,1,0,0,0
27400000,2521,Chattogram,Nasirabad,3,2,11,14,14,1,0,1,1,0,1,1,80,338,0,1,1,1,0,0
5910000,943,Dhaka,Mirpur-1,3,2,8,9,26,1,0,0,0,0,0,0,30,143,1,1,1,1,1,0
12400000,1163,Sylhet,Amberkhana,2,2,8,9,24,1,0,1,1,1,1,1,60,530,0,0,1,0,1,0
25100000,1576,Dhaka,Gulshan-1,5,4,2,2,19,0,1,1,1,1,1,2,40,66,1,0,0,1,0,1
28350000,2077,Dhaka,Bashundhara,2,1,7,10,1,1,1,0,0,0,1,1,60,446,0,0,0,1,1,0
22100000,2503,Sylhet,Amberkhana,5,2,3,3,1,0,1,0,0,0,0,0,20,256,1,1,0,1,0,0
16840000,1959,Dhaka,Shyamoli,4,1,6,9,23,1,1,0,0,0,1,1,30,445,0,0,1,0,0,0
10560000,1020,Sylhet,Zindabazar,2,2,11,12,14,1,0,1,1,1,1,1,40,784,1,0,0,0,0,1
40740000,2263,Dhaka,Gulshan-2,4,2,1,2,1,0,1,1,1,1,0,0,15,118,1,0,0,0,0,1
10270000,914,Sylhet,Uposhohor,3,3,6,8,20,1,1,1,1,1,0,0,20,305,0,0,1,0,0,1
9790000,1769,Chattogram,Halishahar,5,2,2,2,14,0,0,0,0,0,1,1,15,780,0,1,1,1,0,0
27760000,2683,Chattogram,Nasirabad,3,1,4,5,7,1,0,0,0,1,0,0,80,555,0,1,1,0,0,0
5840000,902,Rajshahi,Shah Makhdum,3,2,11,11,14,1,0,1,1,1,1,1,60,579,0,0,0,1,0,1
52990000,2722,Dhaka,Gulshan-2,3,2,3,4,29,0,1,1,1,1,1,1,60,280,1,1,1,0,1,1
20900000,2785,Sylhet,Shahjalal,2,1,10,11,5,1,1,0,1,0,1,2,60,689,1,0,0,1,1,0
5490000,724,Rajshahi,Poba,5,3,11,12,7,1,1,1,0,0,1,1,80,751,1,0,1,0,0,0
13130000,1135,Sylhet,Uposhohor,4,1,6,7,3,1,1,1,1,1,0,0,20,510,0,0,1,0,0,1
15020000,1880,Sylhet,Shahjalal,3,1,8,11,15,1,1,1,1,1,0,0,20,559,1,1,1,1,1,1
13330000,2798,Rajshahi,Rajpara,2,1,7,8,23,1,1,1,1,1,1,1,20,462,0,1,1,1,0,1
8710000,1086,Sylhet,Shahjalal,3,1,7,8,17,1,0,1,1,0,0,0,20,197,0,0,1,0,1,0
21030000,2209,Sylhet,Amberkhana,4,3,9,13,17,1,0,0,0,0,1,2,30,775,0,0,0,0,1,0
6450000,1532,Rajshahi,Rajpara,2,2,3,7,24,1,1,0,0,1,0,0,80,439,1,0,1,1,0,0
5720000,1165,Rajshahi,Boalia,3,3,6,9,16,1,0,0,0,0,0,0,30,371,0,0,1,1,0,0
13400000,1822,Sylhet,Shahjalal,3,2,5,6,22,1,0,0,0,1,1,1,60,550,0,0,0,1,0,0
7100000,772,Chattogram,Nasirabad,4,1,6,8,23,1,1,0,1,1,0,0,30,269,0,1,1,0,1,0
12640000,1010,Chattogram,Agrabad,5,3,12,12,21,1,0,1,0,0,0,0,80,190,1,0,0,1,1,0
33230000,1551,Dhaka,Gulshan-2,2,1,7,8,29,1,1,1,1,1,1,1,10,456,0,0,1,1,1,1
13270000,1765,Dhaka,Mirpur-10,5,4,3,7,14,1,1,0,0,1,0,0,20,247,1,1,0,1,0,0
10980000,2710,Rajshahi,Shah Makhdum,4,1,7,7,5,1,1,0,0,1,1,1,15,538,1,0,1,1,0,0
10830000,1084,Chattogram,Agrabad,5,3,3,5,22,1,1,0,0,0,1,1,10,704,0,1,0,0,0,0
12090000,935,Chattogram,GEC Circle,5,3,2,2,1,0,1,0,0,0,1,2,80,610,0,0,0,1,1,0
12730000,2301,Chattogram,Halishahar,5,1,9,11,23,1,0,0,1,1,1,1,10,455,1,0,0,1,0,0
13610000,2274,Dhaka,Mirpur-1,3,1,11,16,30,1,1,1,0,0,1,1,30,433,1,0,1,0,0,0
7670000,1512,Chattogram,Pahartali,2,1,5,8,17,1,1,1,0,0,0,0,30,285,1,0,0,0,0,0
11510000,875,Chattogram,GEC Circle,2,1,8,8,7,1,0,0,0,1,1,1,60,95,0,1,0,0,0,0
19080000,1836,Sylhet,Amberkhana,3,3,9,10,9,1,0,0,0,0,1,2,20,112,1,0,0,0,0,0
22770000,2272,Sylhet,Uposhohor,3,2,7,8,7,1,1,0,1,0,1,1,80,280,1,0,1,1,0,0
20860000,2119,Dhaka,Uttara,2,1,1,2,21,1,1,0,0,0,0,0,40,667,0,1,0,1,0,0
19410000,2561,Dhaka,Tejgaon,3,3,10,11,12,1,1,0,0,1,1,1,15,615,0,0,1,0,0,0
15870000,2118,Sylhet,Amberkhana,4,4,1,2,23,0,0,0,1,1,1,1,15,66,0,1,1,0,0,0
9550000,2487,Rajshahi,Shah Makhdum,3,3,6,6,23,1,0,0,1,1,0,0,40,550,0,0,0,0,0,0
14250000,1218,Chattogram,Agrabad,2,1,9,11,1,1,0,0,1,0,1,2,40,703,1,1,0,1,1,0
7150000,1038,Rajshahi,Motihar,2,1,4,5,26,1,0,1,1,1,1,1,20,323,1,1,0,1,0,1
9540000,729,Dhaka,Shyamoli,2,2,7,10,1,1,1,1,1,1,1,2,60,59,1,0,1,0,1,1
22810000,1465,Dhaka,Dhanmondi,5,3,1,1,28,1,1,1,1,1,1,2,40,627,0,0,0,0,0,1
9110000,1265,Dhaka,Mirpur-1,3,3,7,11,10,1,1,0,1,0,1,2,30,193,0,1,0,0,0,0
15970000,1719,Sylhet,Sylhet Sadar,5,4,4,6,30,1,0,1,0,0,0,0,30,492,0,1,1,0,0,0
10930000,2077,Rajshahi,Rajpara,2,1,1,2,11,1,0,1,1,1,0,0,80,326,0,0,1,1,1,1
8430000,650,Sylhet,Uposhohor,4,4,7,7,23,1,0,1,1,1,1,2,40,298,1,1,1,1,0,0
14650000,1610,Sylhet,Zindabazar,5,2,8,8,9,1,1,0,0,0,1,1,10,455,0,0,1,1,0,0
12520000,1886,Chattogram,Muradpur,3,2,6,8,22,1,1,0,0,0,1,2,60,552,0,1,0,1,0,0
21920000,2490,Dhaka,Tejgaon,3,2,5,10,2,1,1,1,0,0,1,2,80,468,0,1,0,1,0,0
2580000,750,Rajshahi,Poba,4,1,2,3,21,1,0,0,0,0,0,0,60,413,0,0,1,1,0,0
17820000,2132,Chattogram,Muradpur,5,4,11,15,4,1,0,1,1,1,1,1,20,75,0,1,0,1,0,1
16730000,2734,Rajshahi,Motihar,5,3,8,8,23,1,1,1,1,1,1,1,60,513,0,1,1,1,0,1
9520000,1314,Chattogram,Halishahar,3,2,9,12,7,1,0,1,1,1,1,2,80,464,1,1,0,1,0,1
10010000,1479,Rajshahi,Boalia,3,2,12,18,2,1,1,1,1,1,1,2,40,154,1,1,0,1,0,1
7980000,2207,Rajshahi,Poba,2,2,6,9,19,1,0,0,0,1,1,2,15,739,1,1,1,1,0,0
14040000,2171,Chattogram,Halishahar,5,2,8,12,22,1,1,1,1,1,1,2,60,227,1,0,0,0,0,1
8070000,1399,Rajshahi,Motihar,5,4,7,10,13,1,0,1,1,1,1,1,60,504,0,1,1,1,1,1
8650000,2628,Rajshahi,Poba,2,1,5,9,26,1,0,1,0,0,0,0,20,605,0,1,0,1,1,0
10830000,1080,Dhaka,Uttara,3,1,12,14,27,1,1,0,0,0,1,2,60,674,0,0,1,1,0,0
14510000,1695,Sylhet,Zindabazar,2,1,7,7,27,1,1,0,0,0,1,2,60,179,0,0,1,1,0,0
6790000,981,Rajshahi,Boalia,5,3,12,13,30,1,0,1,1,1,1,2,30,385,0,0,1,0,0,1
31780000,2229,Dhaka,Bashundhara,3,2,4,6,10,1,1,0,0,0,1,1,80,340,0,1,0,0,1,0
15610000,2469,Chattogram,Muradpur,2,2,4,5,28,1,0,1,0,1,0,0,60,359,0,0,1,0,0,0
7320000,973,Chattogram,Muradpur,2,1,4,4,4,1,0,0,0,0,1,2,40,281,1,1,1,0,1,0
17670000,1825,Sylhet,Zindabazar,3,2,3,8,4,1,0,1,1,1,1,2,10,593,1,0,0,1,0,1
4320000,955,Rajshahi,Motihar,2,1,2,5,11,1,0,1,0,0,0,0,30,372,1,0,1,0,0,0
16430000,2687,Chattogram,Halishahar,3,3,7,9,1,1,1,0,1,0,1,1,80,295,1,1,1,1,0,0
6540000,1307,Rajshahi,Rajpara,5,1,1,1,0,0,1,0,0,0,0,0,20,270,1,0,0,1,1,0
6240000,923,Dhaka,Mirpur-1,3,1,9,10,18,1,1,0,0,1,1,2,60,715,1,0,1,0,1,0
7600000,651,Chattogram,Agrabad,3,3,1,2,30,0,1,1,0,1,1,2,20,585,0,0,1,0,1,0
7740000,915,Dhaka,Mirpur-1,5,4,9,9,15,1,1,1,0,0,0,0,80,630,1,0,1,0,1,0
9520000,2168,Rajshahi,Rajpara,3,1,1,4,7,0,0,0,1,0,1,1,20,304,1,1,1,1,0,0
8090000,1872,Rajshahi,Rajpara,4,1,9,9,11,1,0,1,0,0,1,2,15,348,0,0,0,1,0,0
23250000,2279,Chattogram,Agrabad,2,1,9,11,26,1,0,1,1,1,1,1,60,59,0,0,1,1,1,1
7920000,1183,Rajshahi,Boalia,4,1,1,2,22,1,1,1,1,1,1,2,20,519,0,1,1,1,0,1
17530000,1669,Chattogram,Nasirabad,4,4,12,17,10,1,0,1,0,1,1,1,20,513,1,0,1,1,0,0
13830000,1862,Chattogram,Muradpur,5,3,2,2,25,1,0,0,1,1,1,2,60,361,1,0,0,1,0,0
21960000,2452,Dhaka,Mohammadpur,3,1,8,8,3,1,1,1,1,1,0,0,10,113,0,0,1,1,0,1
28640000,1409,Dhaka,Gulshan-2,5,2,2,8,25,1,1,1,1,1,0,0,20,175,0,0,0,1,0,1
9500000,2049,Rajshahi,Motihar,3,1,5,6,28,1,1,0,0,0,1,2,15,85,1,1,1,1,0,0
5120000,679,Chattogram,Pahartali,5,3,8,11,11,1,1,0,1,0,1,1,40,564,0,1,0,1,0,0
11510000,1010,Chattogram,GEC Circle,3,3,4,6,26,1,0,0,0,0,0,0,80,107,1,1,1,0,0,0
18890000,2040,Dhaka,Tejgaon,3,3,4,10,28,1,1,1,1,1,1,1,30,605,1,0,1,1,0,1
23410000,1995,Chattogram,GEC Circle,3,2,1,1,18,0,0,0,0,0,0,0,60,195,1,1,1,1,0,0
7140000,1313,Rajshahi,Rajpara,4,2,11,12,12,1,0,1,1,1,1,1,20,755,0,0,1,0,0,1
40160000,1903,Dhaka,Banani,3,3,10,10,4,1,1,1,1,1,0,0,20,129,1,0,0,0,0,1
7670000,646,Sylhet,Uposhohor,4,2,4,4,11,0,0,1,1,1,1,2,20,160,0,0,1,1,0,1
17090000,1523,Dhaka,Uttara,3,2,2,8,1,1,1,0,0,1,1,1,20,70,1,0,0,1,0,0
12680000,2366,Rajshahi,Boalia,3,3,7,7,3,1,0,0,0,0,0,0,20,260,1,1,1,1,0,0
6160000,615,Dhaka,Mirpur-10,5,1,5,10,20,1,1,1,1,1,0,0,40,541,0,0,1,1,0,1
6740000,1685,Rajshahi,Shah Makhdum,2,2,3,4,11,0,1,0,1,0,0,0,15,506,0,1,1,1,0,0
7370000,849,Chattogram,Halishahar,5,4,9,12,18,1,0,1,1,1,1,1,15,537,0,0,0,0,0,1
27080000,2439,Chattogram,Agrabad,3,1,4,5,4,1,0,0,0,0,0,0,10,483,1,0,0,1,0,0
10050000,1935,Rajshahi,Poba,4,4,1,6,19,1,1,1,1,1,1,1,40,585,0,0,0,1,1,1
18380000,2793,Dhaka,Mirpur-1,4,4,5,8,18,1,1,1,1,1,0,0,40,534,0,0,1,1,0,1
25830000,2546,Chattogram,Agrabad,4,3,1,2,9,0,1,0,0,0,1,2,20,553,1,0,0,1,0,0
10500000,2715,Rajshahi,Shah Makhdum,4,1,9,10,2,1,0,0,0,1,1,2,20,776,0,1,1,1,1,0
14600000,1722,Sylhet,Amberkhana,4,4,9,9,21,1,0,0,0,0,1,1,10,297,1,0,1,0,1,0
7110000,803,Dhaka,Mohammadpur,3,3,4,5,20,1,1,1,0,0,0,0,15,743,1,0,0,0,1,0
14760000,1851,Sylhet,Shahjalal,4,4,7,9,14,1,0,0,0,1,1,1,20,273,0,0,0,0,0,0
10130000,1042,Sylhet,Zindabazar,5,1,6,8,10,1,0,0,1,0,1,1,80,333,1,1,0,0,0,0
8680000,704,Sylhet,Amberkhana,5,3,5,8,12,1,0,1,0,1,1,2,60,86,0,0,0,0,0,0
7180000,1341,Chattogram,Pahartali,4,1,8,9,23,1,0,0,1,1,0,0,80,622,0,0,0,1,0,0
14120000,2527,Rajshahi,Boalia,2,1,8,8,27,1,1,0,1,1,1,2,60,440,1,0,0,1,0,0
27610000,2597,Chattogram,Agrabad,4,2,6,6,0,1,1,0,0,0,0,0,30,330,1,0,0,1,0,0
7050000,754,Rajshahi,Boalia,3,3,6,6,24,1,1,1,1,1,0,0,80,593,0,1,0,1,1,1
8780000,867,Sylhet,Amberkhana,2,2,5,7,13,1,0,0,1,0,1,1,60,187,0,1,1,0,1,0
13100000,2666,Dhaka,Rayer Bazar,3,1,6,11,25,1,1,1,0,0,1,2,10,434,0,1,0,1,0,0
11640000,1227,Sylhet,Uposhohor,3,3,11,11,9,1,1,0,1,0,0,0,30,727,1,0,1,1,1,0
9290000,1418,Chattogram,Halishahar,4,2,6,9,9,1,1,0,0,1,1,2,15,90,0,0,0,0,1,0
13470000,907,Dhaka,Bashundhara,2,2,11,12,9,1,1,1,1,1,0,0,20,525,1,1,0,1,0,1
15030000,639,Dhaka,Gulshan-1,3,3,11,12,11,1,1,1,1,1,1,1,30,686,0,1,1,0,1,1
9940000,2327,Rajshahi,Shah Makhdum,3,1,3,8,1,1,0,0,0,1,0,0,80,213,1,1,1,0,0,0
17500000,2599,Chattogram,Muradpur,2,2,8,8,8,1,0,0,0,0,0,0,60,371,0,0,1,1,0,0
15030000,1618,Dhaka,Mohammadpur,5,3,11,16,12,1,1,1,1,1,1,2,15,621,1,0,0,0,1,1
6650000,1586,Rajshahi,Rajpara,4,3,1,2,17,1,0,0,1,0,1,1,60,437,1,0,0,1,0,0
8590000,600,Dhaka,Bashundhara,2,2,9,10,20,1,1,1,0,0,1,1,60,517,0,0,0,0,1,0
22660000,1998,Chattogram,Agrabad,4,3,9,11,22,1,0,0,0,1,0,0,10,96,1,1,0,1,0,0
9730000,1984,Chattogram,Pahartali,2,2,1,6,18,1,0,1,0,0,1,1,10,511,1,0,0,1,0,0
6170000,1311,Chattogram,Pahartali,3,1,7,11,19,1,0,0,1,0,1,1,20,566,1,1,0,1,0,0
13580000,1885,Sylhet,Shahjalal,3,1,4,6,21,1,0,0,0,0,0,0,20,738,1,1,1,1,0,0
9140000,1771,Rajshahi,Poba,5,1,9,9,12,1,1,1,1,1,1,2,15,104,0,0,0,1,1,1
6450000,732,Sylhet,Amberkhana,4,4,2,6,27,1,0,0,0,0,1,2,15,712,1,1,1,0,0,0
31810000,1629,Dhaka,Gulshan-1,3,3,8,9,29,1,1,1,1,1,1,2,60,771,0,0,0,0,0,1
13730000,1326,Sylhet,Uposhohor,2,1,3,7,3,1,1,1,0,1,1,1,30,91,1,0,1,0,0,0
18140000,2066,Sylhet,Uposhohor,2,2,9,9,16,1,0,1,1,1,0,0,10,567,1,1,1,0,0,0
44320000,2017,Dhaka,Gulshan-2,5,2,11,15,7,1,1,1,1,1,1,1,10,748,0,1,1,0,1,1
20990000,2683,Sylhet,Shahjalal,5,4,1,3,6,1,0,0,1,1,0,0,20,576,0,0,0,1,1,0
7500000,1229,Rajshahi,Boalia,2,2,12,12,2,1,0,0,1,1,0,0,10,105,1,0,1,1,0,0
9270000,859,Dhaka,Shyamoli,2,1,6,6,9,1,1,0,0,0,1,1,80,752,1,1,1,0,0,0
15120000,1820,Sylhet,Amberkhana,4,1,9,13,4,1,1,0,1,1,0,0,10,92,0,0,1,0,0,0
15300000,1353,Chattogram,GEC Circle,3,3,5,5,5,1,0,0,0,0,0,0,60,630,1,1,1,0,0,0
9280000,1125,Sylhet,Zindabazar,3,1,5,5,28,1,0,0,0,0,1,1,15,375,1,1,1,1,1,0
12660000,2386,Chattogram,Pahartali,4,3,3,8,10,1,1,0,1,0,1,1,30,523,0,0,1,1,1,0
7360000,908,Dhaka,Tejgaon,2,1,10,13,24,1,1,0,0,0,0,0,40,267,1,1,0,0,1,0
13750000,2690,Rajshahi,Poba,2,2,6,6,21,1,0,1,1,1,1,2,15,678,1,1,0,0,0,1
4220000,765,Rajshahi,Rajpara,3,2,4,4,11,0,1,0,0,1,1,2,15,93,0,1,0,1,0,0
11250000,1312,Sylhet,Shahjalal,5,4,6,6,16,1,1,0,0,0,0,0,20,435,0,0,1,1,1,0
11630000,1215,Sylhet,Amberkhana,3,1,6,6,21,1,0,0,1,1,1,1,15,474,0,1,1,0,1,0
6610000,1201,Dhaka,Rayer Bazar,2,1,5,6,19,1,1,0,0,1,0,0,40,702,0,0,1,1,0,0
9620000,1344,Chattogram,Halishahar,4,2,12,14,29,1,1,1,1,1,1,2,30,660,1,1,1,0,0,1
7040000,994,Chattogram,Halishahar,3,2,10,10,28,1,1,0,0,0,1,2,80,594,1,0,0,1,0,0
19970000,2770,Dhaka,Tejgaon,5,2,8,14,12,1,0,0,1,0,1,2,20,653,0,1,1,1,1,0
5750000,629,Dhaka,Tejgaon,2,1,7,8,22,1,1,0,1,0,1,1,80,373,1,1,1,0,0,0
9900000,2576,Rajshahi,Poba,3,2,9,12,8,1,1,1,0,1,1,1,20,641,1,0,0,1,0,0
7720000,813,Sylhet,Shahjalal,3,2,11,11,26,1,1,1,1,1,1,2,15,532,1,0,0,1,0,0
59730000,2624,Dhaka,Banani,5,1,4,9,29,1,1,1,1,1,1,1,80,580,0,0,0,0,0,1
5670000,601,Sylhet,Amberkhana,3,1,5,8,11,1,0,0,1,1,1,1,60,454,1,0,0,1,0,0
14100000,1396,Sylhet,Amberkhana,5,4,10,10,5,1,0,0,1,0,0,0,30,568,1,0,0,1,0,0
9550000,2580,Rajshahi,Poba,3,2,8,11,28,1,1,1,1,1,1,1,40,78,0,0,0,1,0,1
20410000,2794,Sylhet,Shahjalal,2,2,4,4,12,1,1,1,0,1,0,0,60,400,0,0,1,0,1,0
14380000,1446,Chattogram,Nasirabad,3,1,4,8,11,1,0,0,0,0,0,0,15,159,0,1,1,0,0,0
13500000,1349,Sylhet,Uposhohor,4,4,4,8,4,1,0,0,0,0,1,1,10,588,1,0,0,1,0,0
12520000,1463,Dhaka,Shyamoli,5,1,6,8,27,1,1,0,0,1,1,2,20,241,1,0,0,1,0,0
6730000,1137,Rajshahi,Motihar,3,1,12,12,17,1,0,1,1,1,0,0,30,440,1,0,1,1,0,1
18960000,1828,Sylhet,Uposhohor,4,1,7,7,1,1,1,0,1,0,1,1,15,310,0,0,1,1,0,0
8080000,1314,Chattogram,Halishahar,4,3,6,10,15,1,1,0,1,1,0,0,80,507,0,1,0,0,0,0
